kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gaussian.1.sm_30.ptx 142 : 16 80 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 139 : 3 9 0 0 0 1 1 0 0 
gaussian.1.sm_30.ptx 138 : 3 27 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 137 : 3 423 0 0 0 1 1 0 0 
gaussian.1.sm_30.ptx 136 : 3 27 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 135 : 3 27 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 134 : 3 27 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 133 : 3 426 0 0 0 2 1 0 0 
gaussian.1.sm_30.ptx 132 : 3 423 0 0 0 1 1 0 0 
gaussian.1.sm_30.ptx 131 : 3 27 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 130 : 3 27 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 60 : 5 18 0 0 0 3 2 0 0 
gaussian.1.sm_30.ptx 59 : 5 45 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 58 : 5 220 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 57 : 5 708 0 0 0 3 2 0 0 
gaussian.1.sm_30.ptx 56 : 5 705 0 0 0 2 2 0 0 
gaussian.1.sm_30.ptx 55 : 5 45 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 54 : 5 30 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 53 : 5 45 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 52 : 5 30 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 51 : 5 45 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 50 : 5 45 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 129 : 3 27 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 49 : 5 30 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 128 : 3 18 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 48 : 5 45 0 0 0 0 0 0 0 
gaussian.1.sm_30.ptx 84 : 16 2272 0 0 0 0 0 0 0 
