kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
particlefilter_naive.1.sm_30.ptx 91 : 2048 10240 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 88 : 2000 35336 0 0 0 500 64 0 0 
particlefilter_naive.1.sm_30.ptx 87 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 86 : 2000 331408 0 0 0 68 64 0 0 
particlefilter_naive.1.sm_30.ptx 85 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 84 : 2000 37304 0 0 0 500 64 0 0 
particlefilter_naive.1.sm_30.ptx 83 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 82 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 81 : 2000 285080 0 0 0 68 64 0 0 
particlefilter_naive.1.sm_30.ptx 80 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 79 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 78 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 77 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 47 : 2000 0 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 46 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 45 : 2000 10000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 43 : 2048 240 0 0 0 0 0 0 2 
particlefilter_naive.1.sm_30.ptx 42 : 2048 12288 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 41 : 2048 20480 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 40 : 2048 10752 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 39 : 2048 10240 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 76 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 38 : 2048 11264 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 75 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 37 : 2048 451072 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 74 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 32 : 2048 433152 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 31 : 2048 425984 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 33 : 2048 437248 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 34 : 2048 444416 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 35 : 2048 450048 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 72 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 36 : 2048 451584 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 73 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 49 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 50 : 2000 12000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 51 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 52 : 2000 18000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 53 : 2000 324392 0 0 0 500 64 0 0 
particlefilter_naive.1.sm_30.ptx 54 : 2000 10000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 57 : 658000 5922000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 58 : 658000 5922000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 59 : 658000 92816800 0 0 0 22030 22030 0 0 
particlefilter_naive.1.sm_30.ptx 60 : 658000 5922000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 61 : 658000 3948000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 62 : 658000 10000 0 0 0 0 0 0 4 
particlefilter_naive.1.sm_30.ptx 64 : 656000 3936000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 65 : 656000 3936000 0 0 0 0 0 0 0 
particlefilter_naive.1.sm_30.ptx 66 : 656000 3280000 0 0 0 0 0 0 0 
